                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.71996,                0.38064,                0.96671,                0.99702,                0.97211,                  0.995,                0.73914,                0.74716,                0.29827,                0.97012,              0.0011083,              0.0011083,              0.0011083
                     37,                0.72456,                0.38301,                0.96941,                0.99592,                      1,                  0.995,                0.73864,                0.74225,                0.30428,                0.97783,              0.0010989,              0.0010989,              0.0010989
                     38,                  0.704,                0.37067,                0.96356,                0.99617,                      1,                  0.995,                0.76912,                0.76411,                0.29854,                0.97689,              0.0010895,              0.0010895,              0.0010895
                     39,                0.71331,                0.37727,                0.97326,                0.98591,                0.99512,                  0.995,                0.76615,                0.75668,                0.29203,                 0.9732,                0.00108,                0.00108,                0.00108
                     40,                 0.7151,                0.37088,                0.97107,                0.98911,                0.97222,                0.99119,                0.76344,                0.74884,                0.29775,                0.96661,              0.0010706,              0.0010706,              0.0010706
                     41,                0.70644,                0.36839,                0.96006,                0.99794,                      1,                  0.995,                0.75651,                0.77439,                0.29786,                0.99451,              0.0010612,              0.0010612,              0.0010612
                     42,                 0.7152,                0.37001,                0.96461,                0.97239,                      1,                  0.995,                0.73496,                0.75673,                0.30083,                0.97893,              0.0010517,              0.0010517,              0.0010517
                     43,                0.69992,                 0.3657,                0.96776,                0.99187,                0.97222,                0.99295,                0.75175,                0.75796,                0.29805,                 0.9887,              0.0010423,              0.0010423,              0.0010423
                     44,                0.69354,                0.36279,                0.96994,                0.99183,                      1,                  0.995,                 0.7553,                0.75645,                0.29934,                0.98321,              0.0010329,              0.0010329,              0.0010329
                     45,                0.68934,                0.35463,                0.95747,                0.96775,                      1,                0.98859,                 0.7547,                0.78339,                0.31052,                0.99239,              0.0010234,              0.0010234,              0.0010234
                     46,                0.69867,                0.35954,                0.95653,                0.94132,                0.99944,                0.97036,                 0.7207,                0.74423,                0.31891,                0.96991,               0.001014,               0.001014,               0.001014
                     47,                0.69074,                 0.3633,                0.96366,                0.96091,                      1,                0.99295,                 0.7404,                 0.7411,                   0.29,                0.97687,              0.0010046,              0.0010046,              0.0010046
                     48,                0.67844,                0.35236,                0.95545,                0.95476,                      1,                 0.9909,                 0.7608,                0.73519,                0.31231,                0.96949,             0.00099516,             0.00099516,             0.00099516
                     49,                0.67554,                0.35674,                0.94957,                0.98704,                 0.9969,                  0.995,                0.75463,                0.74475,                0.29017,                0.97857,             0.00098572,             0.00098572,             0.00098572
                     50,                0.68524,                0.35164,                0.96071,                0.95782,                      1,                 0.9909,                0.76427,                0.74509,                0.30409,                0.97036,             0.00097629,             0.00097629,             0.00097629
                     51,                0.67859,                0.35273,                0.95002,                0.95957,                0.99587,                 0.9909,                0.76571,                0.75057,                0.29079,                0.97681,             0.00096686,             0.00096686,             0.00096686
                     52,                0.67893,                0.35381,                0.95684,                0.99404,                      1,                  0.995,                0.76319,                 0.7551,                0.29224,                 0.9824,             0.00095743,             0.00095743,             0.00095743
